# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random
419,0,0.04646193981170654,32
420,0,0.04811394214630127,32
421,0,0.042353034019470215,32
422,0,0.045694947242736816,33
423,0,0.03795003890991211,32
424,0,0.03812992572784424,32
425,0,0.04354298114776611,32
426,0,0.045628905296325684,32
427,0,0.03891003131866455,32
428,0,0.038088083267211914,33
429,0,0.04229307174682617,32
430,0,0.03970003128051758,32
431,0,0.04191303253173828,32
432,0,0.03599405288696289,32
433,0,0.04307901859283447,32
434,0,0.039237022399902344,34
435,0,0.04343104362487793,34
436,0,0.040203094482421875,32
437,0,0.04195702075958252,32
438,0,0.03989601135253906,32
439,0,0.04307293891906738,32
440,0,0.037136077880859375,32
441,0,0.04829108715057373,35
442,0,0.04050302505493164,34
443,0,0.03778493404388428,32
444,0,0.04650688171386719,34
445,0,0.04430794715881348,34
446,0,0.042488932609558105,32
447,0,0.04608500003814697,34
448,0,0.04868197441101074,32
449,0,0.04051506519317627,32
450,0,0.035104990005493164,32
451,0,0.04558300971984863,32
452,0,0.04154801368713379,32
453,0,0.047438979148864746,32
454,0,0.038854002952575684,32
455,0,0.05768299102783203,34
456,0,0.039321064949035645,32
457,0,0.04101002216339111,32
458,0,0.03759598731994629,32
459,0,0.0451359748840332,32
460,0,0.042028069496154785,34
461,0,0.04108107089996338,32
462,0,0.0430450439453125,32
463,0,0.04999196529388428,34
464,0,0.0329970121383667,35
465,0,0.0476529598236084,32
466,0,0.04913008213043213,33
467,0,0.04543495178222656,34
468,0,0.0437999963760376,32
469,0,0.04162490367889404,32
470,0,0.04333901405334473,34
471,0,0.03859591484069824,32
472,0,0.03559005260467529,32
473,0,0.04549598693847656,32
474,0,0.04522597789764404,32
475,0,0.04539799690246582,32
476,0,0.04081404209136963,34
477,0,0.042192935943603516,32
478,0,0.043534040451049805,32
479,0,0.04231894016265869,34
480,0,0.040541887283325195,32
481,0,0.04959893226623535,32
482,0,0.041162967681884766,32
483,0,0.04806399345397949,32
484,0,0.04404091835021973,32
485,0,0.04384303092956543,34
486,0,0.040647029876708984,32
487,0,0.04215097427368164,32
488,0,0.04123198986053467,32
489,0,0.04684293270111084,34
490,0,0.04246699810028076,32
491,0,0.045536041259765625,34
492,0,0.03894400596618652,32
493,0,0.04582202434539795,32
494,0,0.04636800289154053,32
495,0,0.04521298408508301,36
496,0,0.05996596813201904,32
497,0,0.04280698299407959,32
498,0,0.04455101490020752,32
499,0,0.03944206237792969,32
500,0,0.03891801834106445,32
501,0,0.039250969886779785,32
502,0,0.04490494728088379,32
503,0,0.04456603527069092,34
504,0,0.042021989822387695,32
505,0,0.043269991874694824,34
506,0,0.043789029121398926,32
507,0,0.04130899906158447,32
508,0,0.040917038917541504,34
509,0,0.04596292972564697,34
510,0,0.036535024642944336,32
511,0,0.0473179817199707,34
512,0,0.04563796520233154,32
513,0,0.047302961349487305,32
514,0,0.05046701431274414,35
515,0,0.04654693603515625,32
516,0,0.04194998741149902,33
517,0,0.047305941581726074,32
518,0,0.040068984031677246,32
519,0,0.0369490385055542,32
520,0,0.04297006130218506,33
521,0,0.04769492149353027,34
522,0,0.04292607307434082,32
523,0,0.04648900032043457,32
524,0,0.04201102256774902,32
525,0,0.04846906661987305,32
526,0,0.0399630069732666,32
527,0,0.040266990661621094,32
528,0,0.04695892333984375,32
529,0,0.046729087829589844,32
530,0,0.047477006912231445,32
531,0,0.0428389310836792,32
532,0,0.048133015632629395,32
533,0,0.05851304531097412,32
534,0,0.049273014068603516,32
535,0,0.04212391376495361,32
536,0,0.05533301830291748,32
537,0,0.04296696186065674,32
538,0,0.0412980318069458,32
539,0,0.04141402244567871,32
540,0,0.04829299449920654,32
541,0,0.04784893989562988,32
542,0,0.058706045150756836,32
543,0,0.04059100151062012,32
544,0,0.04244589805603027,32
545,0,0.04974400997161865,34
546,0,0.050521016120910645,34
547,0,0.0434039831161499,32
548,0,0.04996907711029053,34
549,0,0.050634026527404785,32
550,0,0.04697895050048828,32
551,0,0.04678797721862793,34
552,0,0.04425406455993652,36
553,0,0.04534006118774414,32
554,0,0.03950297832489014,32
555,0,0.03871500492095947,32
556,0,0.04923808574676514,32
557,0,0.059321045875549316,34
558,0,0.038671016693115234,32
559,0,0.051904916763305664,32
560,0,0.048316001892089844,34
561,0,0.04563295841217041,32
562,0,0.04330098628997803,32
563,0,0.04629397392272949,32
564,0,0.04823100566864014,32
565,0,0.04516291618347168,32
566,0,0.04955399036407471,32
567,0,0.045343995094299316,32
568,0,0.07059204578399658,32
569,0,0.06382906436920166,32
570,0,0.08574509620666504,32
571,0,0.053704023361206055,32
572,0,0.0467299222946167,32
573,0,0.04359102249145508,33
574,0,0.05261409282684326,34
575,0,0.042481064796447754,32
576,0,0.045593976974487305,32
577,0,0.05101799964904785,32
578,0,0.0471649169921875,32
579,0,0.051902055740356445,33
580,0,0.06011199951171875,32
581,0,0.04839897155761719,34
582,0,0.04566693305969238,34
583,0,0.04679596424102783,32
584,0,0.05481302738189697,34
585,0,0.050531983375549316,32
586,0,0.043756961822509766,32
587,0,0.04743599891662598,32
588,0,0.04843592643737793,32
589,0,0.04440796375274658,32
590,0,0.04704999923706055,34
591,0,0.05051100254058838,32
592,0,0.04987609386444092,32
593,0,0.049252986907958984,32
594,0,0.03646397590637207,32
595,0,0.046849966049194336,32
596,0,0.050628066062927246,34
597,0,0.05609595775604248,34
598,0,0.04854393005371094,34
599,0,0.04908394813537598,32
600,0,0.05257701873779297,34
601,0,0.05124497413635254,34
602,0,0.05509305000305176,32
603,0,0.053256988525390625,34
604,0,0.048020005226135254,32
605,0,0.04499506950378418,32
606,0,0.06291091442108154,32
607,0,0.03961801528930664,35
608,0,0.043168067932128906,32
609,0,0.05187201499938965,34
610,0,0.045953989028930664,32
611,0,0.03757607936859131,32
612,0,0.04194498062133789,32
613,0,0.043074965476989746,32
614,0,0.04665398597717285,32
615,0,0.04489898681640625,32
616,0,0.05065596103668213,32
617,0,0.05077004432678223,32
618,0,0.0385899543762207,32
619,0,0.04735696315765381,32
620,0,0.048348069190979004,32
621,0,0.043099045753479004,32
622,0,0.04363691806793213,32
623,0,0.045713067054748535,34
624,0,0.03801405429840088,32
625,0,0.053279995918273926,32
626,0,0.04502403736114502,34
627,0,0.051692962646484375,32
628,0,0.06918096542358398,34
629,0,0.05965304374694824,34
630,0,0.04381608963012695,34
631,0,0.04437601566314697,32
632,0,0.04473400115966797,32
633,0,0.0486980676651001,34
634,0,0.052073001861572266,32
635,0,0.04539299011230469,32
636,0,0.05226397514343262,32
637,0,0.05542898178100586,32
638,0,0.040354013442993164,32
639,0,0.042347073554992676,32
640,0,0.040295958518981934,32
641,0,0.04054594039916992,32
642,0,0.044834017753601074,32
643,0,0.04816997051239014,32
644,0,0.04896199703216553,32
645,0,0.05005490779876709,32
646,0,0.03962695598602295,32
647,0,0.04776906967163086,32
648,0,0.05583608150482178,34
649,0,0.05320000648498535,32
650,0,0.041180968284606934,32
651,0,0.04548990726470947,32
652,0,0.05805397033691406,34
653,0,0.050253987312316895,32
654,0,0.044407010078430176,32
655,0,0.04331004619598389,32
656,0,0.06014096736907959,32
657,0,0.05243802070617676,32
658,0,0.05251908302307129,32
659,0,0.0514979362487793,34
660,0,0.0447390079498291,32
661,0,0.04581189155578613,32
662,0,0.05040395259857178,32
663,0,0.05134296417236328,34
664,0,0.0433809757232666,32
665,0,0.04765594005584717,32
666,0,0.040963053703308105,34
667,0,0.047019004821777344,32
668,0,0.049484968185424805,32
669,0,0.04097700119018555,32
670,0,0.04218101501464844,32
671,0,0.044270992279052734,33
672,0,0.04167008399963379,32
673,0,0.04907405376434326,34
674,0,0.04056501388549805,32
675,0,0.042121052742004395,32
676,0,0.04658401012420654,32
677,0,0.0399630069732666,32
678,0,0.04200005531311035,32
679,0,0.04518008232116699,32
680,0,0.04956793785095215,32
681,0,0.0421830415725708,32
682,0,0.04167306423187256,32
683,0,0.04269695281982422,32
684,0,0.04276299476623535,32
685,0,0.04392194747924805,32
686,0,0.04530692100524902,32
687,0,0.04603397846221924,32
688,0,0.04378998279571533,32
689,0,0.04279601573944092,32
690,0,0.04990696907043457,32
691,0,0.04112100601196289,34
692,0,0.043125033378601074,32
693,0,0.04619395732879639,32
694,0,0.05327892303466797,32
695,0,0.0404280424118042,32
696,0,0.04747903347015381,32
697,0,0.04204094409942627,32
698,0,0.04325306415557861,32
699,0,0.04803502559661865,32
700,0,0.04081594944000244,32
701,0,0.04359102249145508,32
702,0,0.0381929874420166,32
703,0,0.05142700672149658,34
704,0,0.03660297393798828,32
705,0,0.046682000160217285,33
706,0,0.0370560884475708,32
707,0,0.04500699043273926,32
708,0,0.039691925048828125,32
709,0,0.04971909523010254,34
710,0,0.04542994499206543,32
711,0,0.04084599018096924,34
712,0,0.04913294315338135,32
713,0,0.04440104961395264,32
714,0,0.050843000411987305,32
715,0,0.04411602020263672,32
716,0,0.04098200798034668,33
