GAME,WINNER,TIME,random,random
355,1,0.13265299797058105,23,37
356,0,0.12445700168609619,35,21
357,0,0.10688602924346924,35,17
358,1,0.12970304489135742,23,37
359,0,0.1335049867630005,37,23
360,1,0.14594006538391113,24,36
361,0,0.12248897552490234,36,24
362,1,0.12387406826019287,23,37
363,0,0.14042699337005615,36,24
364,0,0.11292004585266113,35,21
365,1,0.1385490894317627,23,37
366,1,0.12905395030975342,22,37
367,1,0.13127493858337402,21,35
368,0,0.1251460313796997,38,22
369,1,0.12629199028015137,23,37
370,0,0.1341639757156372,36,20
371,1,0.12175095081329346,17,35
372,1,0.12878799438476562,23,37
373,1,0.11690104007720947,20,38
374,0,0.15311205387115479,40,37
375,1,0.11514401435852051,14,38
376,1,0.13462400436401367,18,36
377,0,0.13405108451843262,38,25
378,0,0.12379193305969238,36,24
379,1,0.1475520133972168,24,36
380,0,0.12718403339385986,38,21
381,1,0.166390061378479,23,37
382,1,0.18294000625610352,23,37
383,1,0.15480899810791016,24,36
384,1,0.15803802013397217,19,37
385,1,0.15555596351623535,21,35
386,0,0.1343320608139038,35,21
387,0,0.17441797256469727,38,22
388,1,0.15439903736114502,21,35
389,0,0.1533520221710205,35,35
390,1,0.14133596420288086,23,37
391,1,0.1310659646987915,24,36
392,0,0.16724705696105957,37,23
393,1,0.17358100414276123,19,37
394,1,0.15683090686798096,21,35
395,0,0.1548670530319214,38,26
396,0,0.14432299137115479,35,35
397,1,0.1627049446105957,22,38
398,0,0.14031505584716797,35,21
399,1,0.11385190486907959,21,35
400,1,0.17302298545837402,34,36
401,0,0.13856494426727295,39,16
402,1,0.16807293891906738,24,36
403,0,0.1545490026473999,37,23
404,0,0.18707501888275146,37,27
405,1,0.16116607189178467,25,35
406,0,0.13401401042938232,36,36
407,0,0.11471092700958252,36,22
408,1,0.1464320421218872,22,41
409,0,0.15858900547027588,37,23
410,0,0.15455806255340576,39,24
411,0,0.13308000564575195,35,21
412,1,0.1446009874343872,23,37
413,1,0.12427401542663574,23,37
414,1,0.1548449993133545,21,39
415,1,0.1293240785598755,24,35
416,1,0.14542198181152344,24,36
417,0,0.11804008483886719,35,21
418,0,0.1395479440689087,35,35
419,1,0.1783539056777954,27,37
420,0,0.17645204067230225,37,19
421,0,0.11750900745391846,35,21
422,0,0.1434699296951294,37,21
423,1,0.14090502262115479,22,34
424,0,0.15281403064727783,36,24
425,0,0.1398860216140747,35,17
426,1,0.15318095684051514,27,40
427,1,0.1544179916381836,21,35
428,0,0.1585979461669922,36,20
429,1,0.1489330530166626,24,36
430,0,0.1503239870071411,35,35
431,1,0.1290590763092041,23,35
432,1,0.14873802661895752,26,35
433,0,0.16676092147827148,36,20
434,1,0.12707304954528809,17,35
435,0,0.14158904552459717,36,24
436,0,0.13274097442626953,35,35
437,1,0.16236400604248047,23,37
438,0,0.14722895622253418,35,17
439,0,0.16928601264953613,38,22
440,0,0.16364097595214844,35,35
441,0,0.1542050838470459,35,21
442,0,0.15700602531433105,35,21
443,0,0.15915393829345703,35,35
444,1,0.18292808532714844,23,37
445,0,0.15729296207427979,36,24
446,1,0.16298604011535645,22,38
447,0,0.1696239709854126,38,22
448,1,0.16839897632598877,37,40
449,1,0.15759289264678955,25,37
450,1,0.148703932762146,21,35
451,1,0.14679288864135742,21,38
452,1,0.12723004817962646,21,35
453,1,0.15839004516601562,23,37
454,1,0.15565991401672363,21,37
455,1,0.1471409797668457,21,35
456,1,0.14186203479766846,18,37
457,0,0.16242289543151855,35,21
458,1,0.15008890628814697,24,36
459,0,0.16574394702911377,36,24
460,0,0.13528704643249512,38,14
461,0,0.13861703872680664,35,17
462,1,0.13247501850128174,17,37
463,1,0.16952097415924072,34,36
464,0,0.1555650234222412,36,23
465,0,0.14388108253479004,36,23
466,0,0.1479930877685547,36,24
467,1,0.1801549196243286,23,37
468,1,0.1446589231491089,24,36
469,0,0.14202511310577393,38,17
470,1,0.1938689947128296,22,38
471,1,0.12875306606292725,18,36
472,0,0.15000808238983154,35,21
473,1,0.17921102046966553,22,38
474,0,0.17112398147583008,37,23
475,0,0.14005804061889648,36,20
476,0,0.1320279836654663,35,21
477,0,0.15677297115325928,35,35
478,0,0.16328203678131104,41,18
479,1,0.1627410650253296,20,36
480,1,0.18116307258605957,27,37
481,1,0.12759900093078613,20,36
482,0,0.17630696296691895,38,26
483,0,0.16397297382354736,35,21
484,0,0.1802220344543457,36,20
485,0,0.16490495204925537,35,21
