GAME,WINNER,TIME,random,random,random
330,0,0.25390899181365967,39,22,18
331,0,0.2605609893798828,38,20,38
332,2,0.29689788818359375,28,39,40
333,0,0.2453629970550537,40,25,21
334,2,0.23370599746704102,21,24,38
335,2,0.23749899864196777,29,26,41
336,0,0.27430295944213867,42,30,22
337,0,0.270967960357666,40,26,27
338,0,0.2276989221572876,37,27,24
339,0,0.26816093921661377,42,25,26
340,1,0.21543407440185547,17,38,23
341,1,0.2235569953918457,20,40,22
342,2,0.24467599391937256,27,23,37
343,0,0.2529259920120239,42,39,28
344,1,0.26358604431152344,23,38,25
345,1,0.20327508449554443,21,39,19
346,0,0.2386990785598755,39,26,18
347,1,0.21931707859039307,26,37,21
348,1,0.2472900152206421,20,37,21
349,2,0.27821600437164307,30,29,39
350,1,0.2685168981552124,24,44,22
351,1,0.2561190128326416,20,39,25
352,1,0.2704099416732788,28,42,23
353,0,0.25850892066955566,43,22,21
354,0,0.2530590295791626,38,25,26
355,0,0.253398060798645,38,24,21
356,2,0.24543309211730957,27,26,36
357,1,0.24409997463226318,22,37,26
358,1,0.27907097339630127,24,38,27
359,1,0.20157897472381592,18,39,25
360,0,0.21162700653076172,40,22,22
361,2,0.24972999095916748,19,24,39
362,0,0.20301997661590576,40,21,22
363,0,0.24560797214508057,38,21,28
364,0,0.30594098567962646,39,24,21
365,1,0.2647719383239746,21,38,28
366,0,0.2518179416656494,36,29,21
367,1,0.2102200984954834,18,39,21
368,2,0.29566490650177,31,25,44
369,0,0.23949801921844482,42,22,22
370,2,0.24363696575164795,27,20,39
371,1,0.2325890064239502,28,40,21
372,0,0.21973395347595215,41,19,22
373,0,0.3845430612564087,38,20,22
374,1,0.18206298351287842,17,37,21
375,2,0.27639198303222656,36,24,40
376,0,0.2484750747680664,38,17,24
377,2,0.20522809028625488,23,19,39
378,2,0.2739518880844116,22,24,44
379,0,0.21335101127624512,39,25,25
380,0,0.23889195919036865,36,23,24
381,2,0.23255610466003418,25,20,40
382,0,0.2502169609069824,39,25,19
383,1,0.18866503238677979,23,39,25
384,2,0.23666000366210938,20,26,40
385,0,0.2233489751815796,39,26,27
386,0,0.26018595695495605,37,21,26
387,0,0.23633801937103271,39,24,22
388,1,0.2778010368347168,29,41,24
