GAME,WINNER,TIME,big,big,big,big
371,0,0.19505703449249268,53,21,42,35
372,3,0.29018402099609375,43,35,28,59
373,0,0.48725998401641846,59,43,32,52
374,1,0.45671701431274414,52,59,43,32
375,0,0.3228839635848999,59,43,35,28
376,2,0.1858370304107666,36,35,52,42
377,1,0.19082891941070557,52,59,36,35
378,1,0.15512299537658691,42,53,28,28
379,2,0.18313002586364746,42,21,53,35
380,0,0.46689701080322266,59,35,35,43
381,2,0.1659409999847412,35,35,59,43
382,1,0.1583390235900879,42,53,35,28
383,1,0.36914002895355225,28,59,29,35
384,1,0.6845160722732544,52,59,43,32
385,1,0.3407629728317261,43,59,52,21
386,0,0.21694505214691162,59,43,28,35
387,0,0.242995023727417,57,42,49,32
388,0,0.21992802619934082,59,43,28,28
389,1,0.6321820020675659,46,57,42,39
390,2,0.09890496730804443,28,21,60,21
391,1,0.1564849615097046,28,59,29,21
392,2,0.3520420789718628,28,52,59,36
393,2,0.1544550657272339,35,35,59,43
394,2,0.451151967048645,42,49,57,32
395,3,0.3759540319442749,36,35,35,59
396,0,0.2295069694519043,59,28,35,43
397,2,0.16017508506774902,42,36,52,35
398,1,0.3446190357208252,49,57,39,39
399,3,0.49792003631591797,43,28,21,59
400,2,0.16694891452789307,28,28,59,36
401,3,0.20184695720672607,36,35,52,59
402,1,0.14850807189941406,42,53,35,21
403,0,0.19651103019714355,59,29,35,28
404,2,0.14164400100708008,35,35,59,36
405,0,0.17757010459899902,53,35,35,42
406,0,0.20818698406219482,59,43,28,21
407,1,0.263355016708374,35,59,43,28
408,0,0.1772700548171997,52,35,42,36
409,1,0.17850196361541748,35,59,43,35
410,0,0.4507260322570801,57,42,39,46
411,0,0.458685040473938,59,28,36,28
412,0,0.15577399730682373,59,36,35,28
413,2,0.21161305904388428,35,39,59,43
414,2,0.14122796058654785,28,28,59,43
415,1,0.1392420530319214,35,59,36,28
416,2,0.23800396919250488,21,52,59,43
417,0,0.33086395263671875,52,42,43,35
418,1,0.6796239614486694,49,57,42,36
419,1,0.15346300601959229,35,59,36,35
420,1,0.15736901760101318,28,52,35,29
421,1,0.14426302909851074,35,53,35,28
422,2,0.31163299083709717,42,28,52,43
423,2,0.35358500480651855,35,35,59,36
424,0,0.19450700283050537,57,35,39,49
425,2,0.22859609127044678,52,39,59,54
426,3,0.49425208568573,35,35,43,52
427,3,0.10988390445709229,36,28,28,59
428,3,0.2682349681854248,28,28,42,53
429,1,0.265375018119812,35,59,36,52
430,2,0.31133806705474854,42,43,52,28
431,0,0.23959505558013916,59,43,35,28
432,1,0.16336500644683838,42,53,28,28
433,0,0.2813659906387329,52,42,36,35
434,1,0.1780109405517578,42,53,35,21
435,1,0.36582398414611816,21,59,36,35
436,2,0.31324291229248047,35,35,59,43
437,0,0.1433849334716797,53,35,28,42
438,1,0.534958004951477,52,59,43,28
439,1,0.15943396091461182,28,52,42,43
440,0,0.2772639989852905,53,35,28,42
441,1,0.35265493392944336,35,52,36,42
442,3,0.2636669874191284,28,42,43,52
443,2,0.2666330337524414,28,35,59,43
444,2,0.13135099411010742,28,42,53,28
445,0,0.1420530080795288,53,35,21,42
446,1,0.20152902603149414,42,53,28,35
447,0,0.6014930009841919,53,28,28,42
448,3,0.274975061416626,35,28,43,59
449,1,0.23691999912261963,28,59,36,35
450,2,0.2651059627532959,28,35,59,43
451,1,0.301611065864563,35,53,35,28
452,2,0.35210108757019043,35,35,59,43
453,2,0.1658869981765747,42,43,52,28
454,1,0.5457689762115479,35,59,43,28
455,2,0.2918679714202881,42,43,52,28
456,1,0.12746500968933105,42,53,28,28
457,0,0.21022403240203857,59,43,35,35
458,2,0.1365870237350464,21,42,53,35
459,0,0.22061896324157715,57,35,39,49
460,2,0.14688396453857422,35,35,59,36
461,2,0.17014098167419434,35,35,59,43
462,2,0.26007306575775146,28,28,59,36
463,3,0.1940929889678955,36,35,35,59
464,1,0.4847450256347656,28,59,43,35
465,2,0.13943004608154297,21,28,59,29
466,2,0.4581420421600342,35,42,53,35
467,1,0.14021801948547363,28,59,36,28
