# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big,big
373,1,0.09193706512451172,35,59,36
374,0,0.0960550308227539,53,42,28
375,0,0.1213759183883667,59,36,35
376,0,0.1318279504776001,53,35,42
377,1,0.10835099220275879,35,59,36
378,2,0.16382288932800293,43,28,59
379,1,0.0942380428314209,35,59,36
380,0,0.1133650541305542,59,43,28
381,1,0.13003802299499512,35,59,36
382,2,0.1409209966659546,35,42,53
383,2,0.10361099243164062,36,35,59
384,2,0.10797297954559326,36,35,59
385,2,0.09347093105316162,36,28,59
386,0,0.16335594654083252,53,35,42
387,0,0.1886969804763794,59,43,28
388,2,0.08933699131011963,29,35,59
389,0,0.1046370267868042,59,36,35
390,1,0.19838297367095947,35,59,36
391,2,0.09835994243621826,36,28,59
392,0,0.21798408031463623,59,36,35
393,2,0.1094430685043335,35,42,53
394,2,0.08842098712921143,36,35,59
395,0,0.10854494571685791,59,43,28
396,1,0.09178102016448975,28,59,36
397,0,0.09432899951934814,59,36,21
398,1,0.14515507221221924,42,52,36
399,0,0.1040029525756836,53,35,42
400,0,0.3082319498062134,53,35,42
401,0,0.09857499599456787,59,43,21
402,2,0.13825201988220215,36,35,59
403,1,0.096763014793396,28,59,43
404,2,0.10667896270751953,43,28,59
405,1,0.16560089588165283,42,53,28
406,1,0.2852599620819092,21,59,43
407,0,0.14784300327301025,59,43,28
408,1,0.10129392147064209,28,59,43
409,0,0.1049879789352417,59,43,28
410,0,0.06839501857757568,53,28,42
411,1,0.10346400737762451,35,59,36
412,2,0.13480806350708008,36,35,59
413,0,0.1277599334716797,59,36,35
414,1,0.14040005207061768,28,59,43
415,0,0.0912179946899414,59,43,28
416,0,0.1075129508972168,59,43,28
417,1,0.09326291084289551,35,59,36
418,2,0.10572504997253418,43,28,59
419,1,0.10350692272186279,42,53,35
420,1,0.24625802040100098,35,59,36
421,1,0.12105405330657959,28,59,43
422,2,0.09231197834014893,43,28,59
423,0,0.15009498596191406,59,43,52
424,1,0.11090004444122314,35,59,36
425,0,0.09586095809936523,53,35,42
426,0,0.07774007320404053,53,28,42
427,0,0.10966992378234863,59,43,28
428,2,0.14517807960510254,35,35,53
429,0,0.10326802730560303,59,43,28
430,0,0.09739100933074951,59,43,21
431,0,0.1059950590133667,59,43,28
432,2,0.0941929817199707,35,42,53
433,1,0.1388390064239502,28,59,43
434,1,0.12925803661346436,35,59,36
435,2,0.26733195781707764,42,28,53
436,0,0.11131894588470459,59,43,28
437,0,0.10734200477600098,59,36,35
438,1,0.12604999542236328,42,53,35
439,1,0.10154998302459717,42,53,35
440,2,0.09673607349395752,36,28,59
441,0,0.10438001155853271,59,43,28
442,0,0.11265897750854492,53,35,42
443,1,0.10266697406768799,42,53,35
444,2,0.2132190465927124,43,28,59
445,2,0.3254270553588867,35,36,59
446,1,0.1023859977722168,35,59,36
447,0,0.09732401371002197,53,28,42
448,0,0.13458406925201416,59,36,35
449,1,0.10292601585388184,28,59,43
450,1,0.20388102531433105,52,59,43
451,0,0.0981520414352417,59,43,28
452,1,0.10949695110321045,52,59,43
453,1,0.10196805000305176,21,59,43
454,2,0.08655703067779541,36,28,59
455,1,0.12113499641418457,52,59,43
456,0,0.12832796573638916,53,35,42
457,2,0.10718607902526855,43,28,59
458,2,0.11485898494720459,36,28,59
459,2,0.08632397651672363,43,28,59
460,0,0.08196604251861572,59,36,28
461,0,0.08552896976470947,59,43,28
462,2,0.0811619758605957,36,28,59
463,0,0.08604395389556885,59,36,28
464,1,0.10045003890991211,36,52,42
465,0,0.08237993717193604,59,36,28
466,1,0.09409797191619873,28,59,43
467,2,0.10644400119781494,35,42,53
468,1,0.11092603206634521,35,53,35
469,2,0.08235204219818115,36,35,59
470,0,0.1016930341720581,59,36,35
471,1,0.08864796161651611,35,59,36
472,2,0.07994091510772705,36,35,59
473,0,0.09575295448303223,53,35,42
474,2,0.09355401992797852,36,35,59
475,2,0.10598599910736084,43,52,59
476,1,0.13842201232910156,28,59,36
477,1,0.10002505779266357,35,53,28
478,1,0.07895100116729736,42,53,35
479,1,0.1606680154800415,35,59,36
480,2,0.08294892311096191,35,42,53
481,0,0.09819090366363525,59,43,28
482,0,0.09730494022369385,59,43,35
483,1,0.12134695053100586,35,59,36
484,0,0.08920001983642578,59,36,35
485,0,0.08363795280456543,53,35,35
486,0,0.10175800323486328,59,43,28
487,0,0.10278594493865967,59,43,28
488,1,0.12884104251861572,42,53,28
489,2,0.12019205093383789,35,42,53
490,2,0.10740900039672852,43,28,59
491,0,0.08833098411560059,53,35,42
492,0,0.09452998638153076,59,36,28
493,1,0.08532500267028809,35,59,36
494,0,0.09628403186798096,59,36,35
495,1,0.11753404140472412,14,59,29
496,0,0.09484994411468506,59,43,35
497,1,0.1410750150680542,28,59,43
498,2,0.0813760757446289,36,28,59
499,0,0.13682901859283447,59,36,35
500,1,0.1362210512161255,52,59,36
501,1,0.13744795322418213,28,59,43
502,0,0.09062397480010986,59,43,28
503,2,0.08341896533966064,28,42,53
504,2,0.09164905548095703,36,35,59
505,1,0.10192298889160156,35,59,36
506,0,0.10834896564483643,59,43,28
507,1,0.14250195026397705,43,52,35
508,0,0.1835271120071411,59,52,43
509,0,0.10493206977844238,59,43,28
510,0,0.10812699794769287,59,43,35
511,0,0.13567304611206055,59,36,35
512,0,0.08754396438598633,59,36,35
513,2,0.08814799785614014,43,28,59
514,0,0.2295769453048706,59,36,28
515,0,0.16262304782867432,53,35,42
516,0,0.20860600471496582,53,28,42
517,2,0.1619560718536377,36,28,59
518,2,0.07966506481170654,36,21,59
519,2,0.10803604125976562,43,28,59
520,2,0.104606032371521,43,35,59
521,1,0.11352598667144775,35,59,36
522,1,0.09151899814605713,35,59,36
523,1,0.1132129430770874,52,59,43
524,0,0.14655601978302002,53,35,42
525,0,0.11458802223205566,53,35,42
526,1,0.09794998168945312,28,59,43
527,1,0.1049429178237915,28,59,43
528,2,0.14175307750701904,35,42,53
529,2,0.1064990758895874,43,28,59
530,0,0.1154930591583252,53,35,42
531,0,0.08783698081970215,59,36,35
532,1,0.09062695503234863,42,53,28
533,1,0.11331796646118164,28,59,43
534,1,0.132066011428833,28,59,43
535,1,0.12490594387054443,28,59,43
536,1,0.08757400512695312,28,59,36
537,1,0.10962104797363281,35,59,43
538,1,0.10060000419616699,35,59,43
539,0,0.09949696063995361,53,35,42
540,0,0.10008299350738525,59,43,28
541,0,0.10057497024536133,59,43,28
542,0,0.09578990936279297,59,36,35
543,1,0.10463201999664307,35,59,36
544,0,0.0906369686126709,59,36,35
545,2,0.09426307678222656,36,35,59
546,2,0.11390995979309082,43,28,59
547,2,0.0890430212020874,36,35,59
548,2,0.13313400745391846,36,35,59
549,1,0.17660903930664062,36,52,42
550,2,0.11182796955108643,35,42,53
551,0,0.11095499992370605,59,43,28
552,0,0.09243202209472656,53,35,42
553,1,0.11134505271911621,28,59,43
554,0,0.15464794635772705,59,43,52
555,1,0.13644301891326904,42,53,35
556,1,0.18825507164001465,28,59,43
557,2,0.1134270429611206,35,42,53
558,0,0.12434899806976318,53,35,42
559,1,0.10613298416137695,35,59,36
560,0,0.21960508823394775,59,43,28
561,1,0.10220897197723389,28,59,43
562,1,0.08936107158660889,28,59,43
563,2,0.1368941068649292,43,35,59
564,2,0.0800180435180664,28,42,53
565,2,0.10580992698669434,35,42,53
566,1,0.13475704193115234,28,59,43
567,2,0.08746993541717529,36,35,59
568,1,0.09459996223449707,35,59,43
569,2,0.11927902698516846,43,52,59
570,1,0.09247493743896484,42,53,35
571,1,0.11575305461883545,42,53,35
572,2,0.10705196857452393,43,28,59
573,2,0.14303898811340332,43,28,59
574,1,0.09221804141998291,42,53,35
575,2,0.08607006072998047,36,28,59
576,0,0.10633194446563721,59,36,28
577,1,0.1180649995803833,28,59,43
578,2,0.1655210256576538,43,52,59
579,2,0.11427795886993408,36,35,59
580,2,0.09433698654174805,36,35,59
581,1,0.08971691131591797,42,53,35
582,0,0.09958696365356445,53,35,42
583,2,0.09315693378448486,36,35,59
584,0,0.09825503826141357,59,36,35
585,1,0.0880579948425293,42,53,35
586,0,0.07903003692626953,59,36,35
587,1,0.2669450044631958,35,59,43
588,0,0.0989840030670166,53,28,42
589,1,0.11037898063659668,28,59,43
590,2,0.12970399856567383,43,28,59
591,2,0.11399996280670166,43,35,59
592,2,0.11135101318359375,35,42,53
593,1,0.3447110652923584,42,53,35
594,1,0.15605998039245605,42,53,35
595,1,0.11087095737457275,28,59,43
596,1,0.09085607528686523,28,53,42
597,0,0.09262502193450928,59,36,35
598,1,0.278439998626709,35,59,43
599,1,0.11741101741790771,42,53,35
600,1,0.08198702335357666,35,59,36
601,0,0.22003400325775146,59,43,35
602,0,0.12670695781707764,59,36,35
603,2,0.264335036277771,43,28,59
604,0,0.13371491432189941,59,36,35
605,1,0.11415398120880127,36,52,42
606,1,0.10353291034698486,35,59,36
607,0,0.1686389446258545,53,28,42
608,0,0.10711002349853516,59,36,35
609,2,0.10969197750091553,35,42,53
610,0,0.08909904956817627,59,36,35
611,1,0.10604202747344971,35,59,36
612,1,0.10743296146392822,42,53,35
613,2,0.0885080099105835,36,35,59
614,1,0.160086989402771,28,59,43
615,2,0.11422693729400635,35,42,53
616,0,0.09616494178771973,59,36,35
617,2,0.09902298450469971,36,35,59
618,2,0.09861195087432861,35,42,53
619,2,0.12961304187774658,43,28,59
620,2,0.2700120210647583,42,36,52
621,2,0.12968802452087402,43,28,59
622,2,0.19390392303466797,28,42,53
623,2,0.08657193183898926,28,42,53
624,0,0.09815692901611328,59,36,35
625,0,0.12466001510620117,59,36,35
626,1,0.14954590797424316,43,52,42
627,0,0.09242892265319824,59,43,28
628,2,0.11523103713989258,43,28,59
629,2,0.11737406253814697,35,42,53
630,0,0.14398205280303955,59,36,35
631,1,0.10502994060516357,35,59,36
632,0,0.11041200160980225,59,43,35
633,1,0.09166300296783447,42,53,28
