# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random,random
247,0,0.44732797145843506,45,25,21,30,27
248,4,0.516511082649231,23,28,28,22,44
249,2,0.4793980121612549,28,24,42,22,25
250,1,0.4493039846420288,18,42,26,27,25
251,4,0.41590404510498047,23,24,28,20,39
252,4,0.6292699575424194,34,35,27,30,47
253,0,0.5098600387573242,41,25,24,25,23
254,0,0.3994868993759155,41,24,21,17,20
255,2,0.5014820098876953,28,18,45,27,20
256,1,0.4477250576019287,25,44,44,25,16
257,3,0.4540259838104248,19,21,24,43,27
258,3,0.6082110404968262,31,31,44,45,32
259,0,0.49349498748779297,47,25,24,23,29
260,2,0.5174599885940552,20,26,47,18,27
261,2,0.426874041557312,25,17,42,19,23
262,2,0.5305780172348022,26,28,41,29,21
263,1,0.4104729890823364,21,43,25,26,29
264,1,0.48571598529815674,27,42,24,20,25
265,4,0.5537279844284058,26,27,34,25,47
266,0,0.4064890146255493,41,17,25,17,20
267,1,0.4841669797897339,30,44,27,26,28
268,0,0.4326070547103882,44,31,28,23,19
269,3,0.3965100049972534,26,19,18,41,19
270,3,0.46719396114349365,23,26,26,43,27
271,3,0.5161648988723755,35,34,30,44,19
272,2,0.4872509241104126,22,30,47,33,34
273,3,0.4745889902114868,28,31,18,45,26
274,1,0.45396602153778076,23,39,17,25,27
275,1,0.5068570375442505,22,44,29,23,23
276,1,0.48743700981140137,27,45,27,24,29
277,0,0.46536898612976074,43,28,24,28,25
278,1,0.5242980718612671,42,44,42,26,21
279,1,0.4445359706878662,27,41,23,18,22
280,2,0.47331809997558594,26,23,44,25,27
281,3,0.5085020065307617,29,21,27,45,30
282,2,0.5059390068054199,27,39,41,26,32
283,3,0.5394150018692017,35,27,25,47,25
284,3,0.4426029920578003,25,31,21,43,24
285,3,0.48517394065856934,20,26,28,41,23
286,4,0.45774102210998535,30,22,26,22,41
287,3,0.4674360752105713,27,24,23,47,24
288,0,0.5224239826202393,44,29,32,44,27
