# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
451,1,0.4257620573043823,24,40,27,20
452,2,0.410209059715271,21,25,40,23
453,2,0.45316100120544434,28,31,45,32
454,2,0.35898303985595703,27,25,41,23
455,2,0.5422540903091431,27,28,43,29
456,0,0.3767380714416504,41,31,23,24
457,0,0.27464795112609863,39,17,20,15
458,2,0.319242000579834,23,18,41,26
459,3,0.39207005500793457,19,21,24,39
460,2,0.44292497634887695,26,27,45,28
461,1,0.3978060483932495,25,39,19,22
462,3,0.47839605808258057,25,28,27,40
463,1,0.40954697132110596,29,40,25,25
464,1,0.38800108432769775,27,40,21,21
465,0,0.4679529666900635,42,26,31,24
466,3,0.4201139211654663,25,30,28,44
467,1,0.3558309078216553,26,41,26,27
468,2,0.3374459743499756,22,29,39,29
469,0,0.41453492641448975,42,22,42,20
470,3,0.43665409088134766,27,30,31,45
471,2,0.44217002391815186,24,24,41,24
472,0,0.3658050298690796,40,20,25,22
473,0,0.4558330774307251,39,22,19,22
474,1,0.4138519763946533,21,39,23,29
475,2,0.5103280544281006,30,28,44,29
476,2,0.363023042678833,20,21,44,20
477,3,0.4110410213470459,25,25,26,40
478,3,0.5303659439086914,44,35,25,45
479,1,0.3486679792404175,29,41,22,20
480,0,0.4024510383605957,40,16,29,24
481,1,0.4192110300064087,22,39,21,23
482,0,0.34618091583251953,39,24,18,21
483,2,0.38697993755340576,26,20,44,22
484,1,0.49487102031707764,21,42,30,27
485,0,0.38011598587036133,40,19,19,27
486,3,0.4595179557800293,24,27,27,45
487,1,0.470115065574646,28,40,25,27
488,0,0.40159404277801514,42,27,21,29
489,3,0.4185689687728882,24,22,23,44
490,2,0.5060499906539917,29,32,45,30
491,2,0.5123710632324219,30,24,44,43
492,3,0.46536707878112793,23,25,42,43
493,0,0.42691898345947266,42,22,26,23
494,3,0.4088890552520752,27,21,25,39
495,2,0.42354798316955566,19,26,40,17
496,3,0.41897106170654297,23,28,22,43
497,0,0.3560589551925659,42,28,23,25
498,1,0.37634098529815674,20,39,17,22
499,0,0.6271200180053711,46,26,44,30
500,2,0.46128106117248535,21,24,40,38
501,1,0.39863598346710205,18,42,24,31
502,2,0.4677079916000366,29,30,41,30
503,3,0.41490697860717773,24,24,22,39
504,2,0.5020279884338379,22,43,45,29
505,0,0.5093269348144531,42,33,32,24
506,0,0.4108860492706299,39,25,24,25
507,0,0.36276400089263916,41,20,25,19
508,1,0.5197669267654419,27,42,25,30
509,3,0.4178810119628906,22,23,19,39
510,1,0.37691402435302734,26,41,20,22
511,2,0.4455920457839966,41,28,42,28
512,2,0.4722200632095337,25,26,41,25
513,0,0.42193102836608887,43,28,35,31
514,2,0.33861303329467773,24,21,45,25
515,3,0.49886906147003174,25,27,27,41
516,1,0.5093789100646973,29,44,22,28
517,1,0.39281904697418213,23,39,20,27
518,1,0.43998897075653076,26,42,28,16
519,1,0.5369930267333984,24,44,28,31
520,2,0.4233379364013672,24,25,39,28
521,2,0.531607985496521,25,26,44,29
522,2,0.4292830228805542,29,27,43,20
523,3,0.352431058883667,15,23,18,39
524,0,0.3066120147705078,39,25,24,25
525,2,0.37152099609375,23,23,40,26
526,2,0.4171609878540039,43,27,44,27
527,2,0.42998695373535156,25,24,44,24
528,3,0.39588701725006104,22,19,24,41
529,1,0.4071580171585083,26,42,24,27
530,3,0.43630802631378174,23,25,40,42
531,1,0.4950939416885376,27,46,32,32
532,2,0.3660680055618286,25,19,40,21
533,2,0.35963892936706543,20,25,39,18
534,2,0.35254204273223877,19,24,43,25
535,1,0.4530249834060669,23,39,26,25
536,0,0.4095669984817505,39,22,25,26
537,2,0.4478060007095337,23,27,41,26
538,2,0.40293705463409424,24,26,45,24
539,3,0.4320780038833618,28,28,25,39
540,0,0.38580000400543213,39,27,25,25
541,2,0.4261699914932251,21,21,43,28
542,3,0.44772303104400635,27,26,20,43
543,3,0.43152499198913574,23,29,22,39
